Country;number
Turkey;47
United States;34.7
Germany;29.2
Luxembourg;24.8
Austria;21.8
Belgium;15.9
Lithuania;15.5
Estonia;14.6
Hungary;13.8
Canada;13.5
Italy;12.5
Czech Republic;11.6
France;11.6
 Switzerland;11
South Korea;10.6
Latvia;9.7
Spain;9.7
Slovakia;9.2
Australia;9.1
Iceland;9.1
Russia;8.3
Norway;8
Japan;7.3
Hong Kong;7.1
Poland;6.9
Denmark;6.7
United Kingdom;6.6
Ireland;6.5
Slovenia;6.4
Netherlands;6.4
Finland;6.1
Greece;6
Sweden;5.8
Portugal;4.2
China;3.6
